acc,node,density,input_scale,rho,fb_scale,leaking_rate,average_window
0.9572,0.85,0.5,0.002,1.375,0,0.85,1
0.9572,0.85,0.5,0.002,1.375,0,0.9,1
0.9572,0.85,0.5,0.002,1.4,0,0.85,1
0.9572,0.85,0.5,0.002,1.4,0,0.9,1
0.9572,0.85,0.5,0.002,1.425,0,0.85,1
0.9572,0.85,0.5,0.002,1.425,0,0.9,1
0.9572,0.85,0.5,0.002,1.45,0,0.9,1
0.9555,0.85,0.5,0.002,1.35,0,0.85,1
0.9555,0.85,0.5,0.002,1.35,0,0.9,1
0.9555,0.85,0.5,0.002,1.45,0,0.85,1
0.955,0.925,0.5,0.003,1.45,0,0.85,1
0.9532,0.925,0.5,0.003,1.45,0,0.9,1
0.9515,0.925,0.3,0.003,1.425,0,0.75,1
0.9515,0.95,0.3,0.002,1.45,0,0.9,1
0.9515,0.925,0.5,0.003,1.425,0,0.9,1
0.9505,0.825,0.4,0.002,1.45,0,0.85,1
0.9498,0.85,0.5,0.002,1.325,0,0.85,1
0.9498,0.925,0.3,0.003,1.425,0,0.85,1
0.9498,0.95,0.3,0.002,1.45,0,0.85,1
0.9493,0.925,0.3,0.003,1.45,0,0.75,1
0.9493,0.95,0.5,0.002,1.425,0,0.9,1
0.9486,0.85,0.5,0.002,1.325,0,0.9,1
0.9481,0.925,0.3,0.003,1.4,0,0.75,1
0.9481,0.925,0.3,0.003,1.425,0,0.9,1
0.9481,0.95,0.3,0.002,1.425,0,0.85,1
0.9481,0.925,0.5,0.003,1.4,0,0.9,1
0.9481,0.925,0.5,0.003,1.425,0,0.85,1
0.9476,0.925,0.3,0.003,1.45,0,0.85,1
0.9476,0.875,0.4,0.003,1.375,0,0.75,1
0.9476,0.875,0.4,0.003,1.4,0,0.75,1
0.9476,0.875,0.4,0.003,1.425,0,0.75,1
0.9476,0.875,0.4,0.003,1.425,0,0.85,1
0.9476,0.875,0.4,0.003,1.45,0,0.85,1
0.9471,0.95,0.5,0.002,1.4,0,0.9,1
0.9464,0.825,0.4,0.003,1.45,0,0.75,1
0.9464,0.85,0.5,0.002,1.3,0,0.85,1
0.9464,0.85,0.5,0.002,1.35,0,0.75,1
0.9464,0.85,0.5,0.002,1.45,0,0.75,1
0.9464,0.925,0.3,0.003,1.375,0,0.75,1
0.9464,0.925,0.5,0.003,1.35,0,0.9,1
0.9464,0.925,0.5,0.003,1.375,0,0.9,1
0.9459,0.875,0.4,0.003,1.4,0,0.85,1
0.9459,0.875,0.4,0.003,1.45,0,0.75,1
0.9459,0.925,0.3,0.003,1.45,0,0.9,1
0.9459,0.95,0.5,0.002,1.375,0,0.9,1
0.9459,0.95,0.3,0.002,1.425,0,0.75,1
0.9454,0.825,0.4,0.002,1.425,0,0.85,1
0.9454,0.95,0.3,0.002,1.4,0,0.85,1
0.9452,0.85,0.5,0.002,1.3,0,0.9,1
0.9447,0.825,0.4,0.003,1.4,0,0.9,1
0.9447,0.825,0.4,0.003,1.425,0,0.75,1
0.9447,0.825,0.4,0.003,1.425,0,0.85,1
0.9447,0.825,0.4,0.003,1.425,0,0.9,1
0.9447,0.825,0.4,0.003,1.45,0,0.85,1
0.9447,0.825,0.4,0.003,1.45,0,0.9,1
0.9447,0.825,0.4,0.003,1.4,0,0.75,1
0.9447,0.825,0.4,0.003,1.4,0,0.85,1
0.9447,0.925,0.3,0.003,1.35,0,0.75,1
0.9447,0.925,0.3,0.003,1.375,0,0.85,1
0.9447,0.925,0.3,0.003,1.4,0,0.85,1
0.9447,0.925,0.3,0.003,1.4,0,0.9,1
0.9447,0.95,0.5,0.002,1.35,0,0.9,1
0.9447,0.925,0.5,0.003,1.375,0,0.85,1
0.9447,0.925,0.5,0.003,1.4,0,0.75,1
0.9447,0.925,0.5,0.003,1.4,0,0.85,1
0.9447,0.925,0.5,0.003,1.425,0,0.75,1
0.9447,0.925,0.5,0.003,1.45,0,0.75,1
0.9442,0.875,0.4,0.003,1.35,0,0.75,1
0.9442,0.875,0.4,0.003,1.45,0,0.9,1
0.9442,0.875,0.5,0.003,1.4,0,0.75,1
0.9442,0.875,0.5,0.003,1.425,0,0.75,1
0.9442,0.95,0.5,0.002,1.425,0,0.85,1
0.9442,0.95,0.3,0.003,1.425,0,0.75,1
0.9442,0.95,0.3,0.003,1.45,0,0.75,1
0.9437,0.825,0.4,0.002,1.45,0,0.9,1
0.9437,0.95,0.5,0.002,1.4,0,0.85,1
0.9431,0.95,0.5,0.002,1.4,0,0.75,1
0.943,0.85,0.5,0.002,1.325,0,0.75,1
0.943,0.85,0.4,0.003,1.45,0,0.85,1
0.943,0.85,0.4,0.003,1.45,0,0.9,1
0.943,0.925,0.3,0.003,1.35,0,0.85,1
0.943,0.925,0.3,0.003,1.325,0,0.75,1
0.943,0.925,0.5,0.003,1.35,0,0.85,1
0.943,0.95,0.5,0.002,1.35,0,0.85,1
0.9425,0.825,0.4,0.002,1.4,0,0.75,1
0.9425,0.825,0.5,0.003,1.45,0,0.75,1
0.9425,0.85,0.4,0.003,1.45,0,0.75,1
0.9425,0.875,0.4,0.003,1.325,0,0.75,1
0.9425,0.875,0.5,0.003,1.375,0,0.75,1
0.9425,0.875,0.5,0.003,1.4,0,0.85,1
0.9425,0.875,0.5,0.003,1.425,0,0.85,1
0.9425,0.875,0.5,0.003,1.45,0,0.75,1
0.9425,0.875,0.5,0.003,1.45,0,0.85,1
0.9425,0.875,0.5,0.003,1.45,0,0.9,1
0.9425,0.95,0.5,0.002,1.375,0,0.85,1
0.9425,0.95,0.5,0.002,1.45,0,0.9,1
0.9425,0.925,0.5,0.003,1.3,0,0.85,1
0.9425,0.925,0.5,0.003,1.3,0,0.9,1
0.9425,0.925,0.5,0.003,1.325,0,0.9,1
0.9425,0.95,0.3,0.003,1.4,0,0.75,1
0.9425,0.95,0.3,0.002,1.4,0,0.75,1
0.942,0.825,0.4,0.002,1.425,0,0.9,1
0.942,0.85,0.3,0.002,1.45,0,0.75,1
0.942,0.875,0.4,0.003,1.375,0,0.85,1
0.942,0.875,0.4,0.003,1.425,0,0.9,1
0.9414,0.95,0.5,0.002,1.375,0,0.75,1
0.9413,0.85,0.5,0.002,1.425,0,0.75,1
0.9413,0.85,0.4,0.003,1.425,0,0.9,1
0.9413,0.925,0.3,0.003,1.375,0,0.9,1
0.9413,0.875,0.5,0.003,1.3,0,0.85,1
0.9413,0.925,0.3,0.003,1.3,0,0.75,1
0.9413,0.925,0.3,0.003,1.325,0,0.85,1
0.9413,0.95,0.3,0.002,1.45,0,0.75,1
0.9413,0.95,0.3,0.003,1.375,0,0.75,1
0.9413,0.95,0.3,0.003,1.4,0,0.75,1
0.9413,0.95,0.3,0.003,1.4,0,0.85,1
0.9413,0.925,0.5,0.003,1.35,0,0.75,1
0.9413,0.925,0.5,0.003,1.375,0,0.75,1
0.9413,0.95,0.3,0.003,1.45,0,0.85,1
0.9409,0.825,0.4,0.002,1.425,0,0.75,1
0.9408,0.825,0.5,0.003,1.4,0,0.75,1
0.9408,0.825,0.5,0.003,1.4,0,0.85,1
0.9408,0.825,0.5,0.003,1.425,0,0.75,1
0.9408,0.825,0.5,0.003,1.425,0,0.85,1
0.9408,0.825,0.5,0.003,1.425,0,0.9,1
0.9408,0.825,0.4,0.003,1.375,0,0.75,1
0.9408,0.825,0.4,0.003,1.375,0,0.85,1
0.9408,0.85,0.3,0.003,1.425,0,0.75,1
0.9408,0.85,0.3,0.003,1.45,0,0.75,1
0.9408,0.85,0.4,0.003,1.425,0,0.85,1
0.9408,0.85,0.4,0.003,1.45,0,0.75,1
0.9408,0.85,0.5,0.002,1.375,0,0.75,1
0.9408,0.85,0.5,0.002,1.4,0,0.75,1
0.9408,0.85,0.4,0.003,1.425,0,0.75,1
0.9408,0.85,0.4,0.003,1.425,0,0.85,1
0.9408,0.875,0.4,0.003,1.3,0,0.75,1
0.9408,0.875,0.5,0.003,1.325,0,0.75,1
0.9408,0.875,0.5,0.003,1.375,0,0.85,1
0.9408,0.925,0.4,0.003,1.45,0,0.75,1
0.9408,0.925,0.5,0.003,1.3,0,0.85,1
0.9408,0.925,0.5,0.003,1.325,0,0.85,1
0.9408,0.925,0.5,0.003,1.325,0,0.85,1
0.9408,0.95,0.3,0.003,1.35,0,0.75,1
0.9408,0.95,0.3,0.003,1.375,0,0.75,1
0.9408,0.95,0.4,0.003,1.4,0,0.9,1
0.9408,0.95,0.4,0.003,1.425,0,0.9,1
0.9403,0.825,0.4,0.003,1.375,0,0.9,1
0.9403,0.875,0.4,0.003,1.35,0,0.85,1
0.9403,0.875,0.4,0.003,1.4,0,0.9,1
0.9403,0.875,0.5,0.003,1.425,0,0.9,1
0.9396,0.85,0.5,0.002,1.3,0,0.75,1
0.9396,0.875,0.3,0.002,1.375,0,0.85,1
0.9396,0.875,0.3,0.002,1.375,0,0.9,1
0.9396,0.875,0.3,0.002,1.4,0,0.9,1
0.9396,0.875,0.3,0.002,1.425,0,0.9,1
0.9396,0.875,0.4,0.003,1.45,0,0.85,1
0.9396,0.925,0.3,0.003,1.35,0,0.9,1
0.9396,0.925,0.4,0.003,1.35,0,0.75,1
0.9396,0.925,0.3,0.003,1.425,0,0.75,1
0.9396,0.925,0.3,0.003,1.45,0,0.75,1
0.9396,0.925,0.3,0.003,1.45,0,0.85,1
0.9396,0.925,0.4,0.003,1.45,0,0.9,1
0.9396,0.925,0.5,0.003,1.425,0,0.85,1
0.9396,0.925,0.5,0.003,1.425,0,0.9,1
0.9396,0.925,0.5,0.003,1.45,0,0.85,1
0.9396,0.925,0.3,0.003,1.3,0,0.85,1
0.9396,0.95,0.5,0.002,1.425,0,0.75,1
